Lead Origin,Lead Source,Do Not Email,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Specialization,What is your current occupation,City,A free copy of Mastering The Interview,Last Notable Activity,lead_score,actual_converted,assigned_rep
Lead Add Form,Welingak Website,No,1,3.0,1212,2.0,Email Opened,Finance Management,Unemployed,Mumbai,No,Modified,0.9792707036076145,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,3.0,1540,2.0,Email Opened,Finance Management,Unemployed,Mumbai,No,Modified,0.978965276276563,1,Rep_A (Top Closer)
Lead Import,Facebook,No,0,3.0,1724,2.0,Email Opened,Finance Management,Unemployed,Other Cities of Maharashtra,No,Modified,0.9767911101617619,0,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,2.0,1349,1.0,Olark Chat Conversation,Operations Management,Unemployed,Mumbai,Yes,Olark Chat Conversation,0.9767843519948421,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,3.0,1476,2.0,Email Opened,Finance Management,Unemployed,Mumbai,No,Modified,0.9762020328473934,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,3.0,1464,2.0,Email Opened,Finance Management,Unemployed,Mumbai,No,Modified,0.9756458433851614,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,3.0,1445,2.0,Email Opened,Finance Management,Unemployed,Mumbai,No,Modified,0.974739196012735,1,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,3.0,1060,2.0,Email Opened,Finance Management,Unemployed,Mumbai,No,Modified,0.9722239268671462,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,0,3.0,711,2.0,Had a Phone Conversation,Marketing Management,Working Professional,Mumbai,No,Modified,0.9703960114324652,0,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,2.0,826,1.0,Form Submitted on Website,Supply Chain Management,Working Professional,Mumbai,Yes,Modified,0.9675680687156246,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,2.0,1598,2.0,SMS Sent,Finance Management,Working Professional,Thane & Outskirts,Yes,SMS Sent,0.9674836053532819,1,Rep_A (Top Closer)
Lead Import,Facebook,No,0,3.0,1517,2.0,Email Opened,Finance Management,Unemployed,Other Metro Cities,No,Modified,0.9669462997563139,0,Rep_A (Top Closer)
Landing Page Submission,Organic Search,No,1,10.0,2112,3.33,Email Opened,Human Resource Management,Unemployed,Mumbai,No,Email Opened,0.9667717400413716,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,3.0,705,2.0,Email Opened,Hospitality Management,Working Professional,Thane & Outskirts,No,Modified,0.9652084056846827,1,Rep_A (Top Closer)
API,Organic Search,No,1,3.0,1757,1.5,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.9637178450634128,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,0,4.0,2207,4.0,SMS Sent,IT Projects Management,Unemployed,Other Cities of Maharashtra,Yes,SMS Sent,0.9633658527752844,0,Rep_A (Top Closer)
API,Olark Chat,No,0,1.0,1858,1.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,Modified,0.9590203907285323,0,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,2.0,1534,2.0,SMS Sent,Healthcare Management,Working Professional,Other Cities,Yes,SMS Sent,0.9583360824065393,1,Rep_A (Top Closer)
Landing Page Submission,Organic Search,No,1,14.0,1822,7.0,SMS Sent,International Business,Unemployed,Mumbai,Yes,SMS Sent,0.9552135074188873,1,Rep_A (Top Closer)
Lead Import,Facebook,No,1,3.0,1542,2.0,Email Bounced,Finance Management,Unemployed,Other Cities of Maharashtra,No,Modified,0.9551315056861766,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,SMS Sent,Operations Management,Working Professional,Mumbai,No,SMS Sent,0.9536967007097711,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,SMS Sent,Operations Management,Working Professional,Mumbai,No,SMS Sent,0.9536967007097711,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,SMS Sent,Marketing Management,Working Professional,Mumbai,No,SMS Sent,0.9534560603447674,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,SMS Sent,Marketing Management,Working Professional,Mumbai,No,SMS Sent,0.9534560603447674,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,SMS Sent,Marketing Management,Working Professional,Mumbai,No,SMS Sent,0.9534560603447674,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,SMS Sent,Marketing Management,Working Professional,Mumbai,No,SMS Sent,0.9534560603447674,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,5.0,2037,2.5,Email Opened,Finance Management,Unemployed,Thane & Outskirts,No,Modified,0.9532335082434107,1,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,1.0,967,1.0,Email Opened,IT Projects Management,Unemployed,Other Cities of Maharashtra,Yes,Email Opened,0.9531800988995763,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,2.0,1948,2.0,SMS Sent,Human Resource Management,Unemployed,Other Cities,Yes,SMS Sent,0.9531026462099712,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,SMS Sent,Human Resource Management,Working Professional,Mumbai,No,SMS Sent,0.953092868285208,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,SMS Sent,Human Resource Management,Working Professional,Mumbai,No,SMS Sent,0.953092868285208,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,SMS Sent,Human Resource Management,Working Professional,Mumbai,No,SMS Sent,0.953092868285208,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,SMS Sent,Human Resource Management,Working Professional,Mumbai,No,SMS Sent,0.953092868285208,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,SMS Sent,Healthcare Management,Working Professional,Mumbai,No,SMS Sent,0.9528492449253092,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,SMS Sent,Finance Management,Working Professional,Mumbai,No,SMS Sent,0.9527269826771676,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,SMS Sent,Finance Management,Working Professional,Mumbai,No,SMS Sent,0.9527269826771676,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,SMS Sent,Business Administration,Working Professional,Mumbai,No,SMS Sent,0.9523583857437979,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,SMS Sent,"Banking, Investment And Insurance",Working Professional,Mumbai,No,SMS Sent,0.9522349144981249,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,4.0,1483,4.0,Page Visited on Website,Operations Management,Working Professional,Mumbai,No,Modified,0.9520980260266875,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,3.0,1371,3.0,SMS Sent,Business Administration,Working Professional,Mumbai,No,SMS Sent,0.952043311259054,1,Rep_A (Top Closer)
Landing Page Submission,Organic Search,No,1,5.0,1445,5.0,SMS Sent,Finance Management,Unemployed,Other Cities of Maharashtra,No,SMS Sent,0.9515772211144892,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,3.0,1070,2.0,Email Opened,Marketing Management,Unemployed,Other Cities,No,Modified,0.9513894932219309,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,3.0,1826,3.0,SMS Sent,Operations Management,Unemployed,Mumbai,No,SMS Sent,0.9511934338602644,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,3.0,1995,3.0,Form Submitted on Website,IT Projects Management,Unemployed,Other Cities of Maharashtra,No,Modified,0.9507178305929358,1,Rep_A (Top Closer)
API,Google,No,1,2.0,1416,1.0,SMS Sent,Finance Management,Working Professional,Mumbai,No,SMS Sent,0.9506932732416256,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,4.0,1674,4.0,SMS Sent,Human Resource Management,Unemployed,Other Cities of Maharashtra,No,SMS Sent,0.9491340272809248,1,Rep_A (Top Closer)
API,Referral Sites,No,1,5.0,1536,5.0,Email Opened,Human Resource Management,Working Professional,Thane & Outskirts,No,Email Opened,0.948266091149966,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,4.0,1484,4.0,SMS Sent,Supply Chain Management,Working Professional,Thane & Outskirts,Yes,SMS Sent,0.9478518940204992,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,1.0,1716,1.0,Converted to Lead,"Banking, Investment And Insurance",Working Professional,Mumbai,No,Modified,0.9478270363937619,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,3.0,1576,1.5,SMS Sent,IT Projects Management,Unemployed,Thane & Outskirts,No,SMS Sent,0.9473477177346374,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,0,5.0,1592,1.67,SMS Sent,Operations Management,Unemployed,Thane & Outskirts,Yes,SMS Sent,0.9469722999209592,0,Rep_A (Top Closer)
Landing Page Submission,Referral Sites,No,1,6.0,1505,6.0,Page Visited on Website,Human Resource Management,Unemployed,Other Cities,Yes,Page Visited on Website,0.9462906744587861,1,Rep_A (Top Closer)
API,Organic Search,No,1,6.0,1519,1.5,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.9453423997565368,1,Rep_A (Top Closer)
Landing Page Submission,Organic Search,No,1,3.0,1466,3.0,SMS Sent,Business Administration,Unemployed,Mumbai,Yes,SMS Sent,0.9449392230593316,1,Rep_A (Top Closer)
Landing Page Submission,Organic Search,No,0,3.0,1328,1.5,SMS Sent,Human Resource Management,Unemployed,Mumbai,Yes,SMS Sent,0.9444034528639584,0,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,2.0,1680,2.0,SMS Sent,Human Resource Management,Unemployed,Mumbai,No,SMS Sent,0.943669306722857,1,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,SMS Sent,Finance Management,Unemployed,Other Cities of Maharashtra,No,SMS Sent,0.943142866024356,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,SMS Sent,Marketing Management,Working Professional,Mumbai,No,Modified,0.9429139601554023,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,SMS Sent,Marketing Management,Working Professional,Mumbai,No,Modified,0.9429139601554023,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,3.0,1007,2.0,Email Opened,Human Resource Management,Unemployed,Mumbai,No,Modified,0.9425152011613144,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,SMS Sent,Human Resource Management,Working Professional,Mumbai,No,Modified,0.9424734691607427,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,SMS Sent,Human Resource Management,Working Professional,Mumbai,No,Modified,0.9424734691607427,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,SMS Sent,Human Resource Management,Working Professional,Mumbai,No,Modified,0.9424734691607427,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,4.0,1646,4.0,SMS Sent,Hospitality Management,Unemployed,Mumbai,No,SMS Sent,0.941539482433835,1,Rep_A (Top Closer)
Landing Page Submission,Organic Search,No,1,6.0,1468,6.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,Mumbai,No,SMS Sent,0.94120622707133,1,Rep_A (Top Closer)
Landing Page Submission,Referral Sites,No,1,9.0,1524,9.0,SMS Sent,Marketing Management,Unemployed,Mumbai,Yes,SMS Sent,0.9394499322969415,1,Rep_A (Top Closer)
API,Organic Search,No,0,3.0,1709,3.0,SMS Sent,Human Resource Management,Unemployed,Mumbai,No,Modified,0.9388877389790228,0,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,SMS Sent,Human Resource Management,Unemployed,Mumbai,No,SMS Sent,0.9386352925082294,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,0,7.0,1720,2.33,SMS Sent,"Banking, Investment And Insurance",Unemployed,Other Cities,No,Modified,0.9382652488757885,0,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.9381639513181712,1,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.9381639513181712,1,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.9381639513181712,1,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.9381639513181712,1,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.9381639513181712,1,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.9381639513181712,1,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.9381639513181712,1,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.9381639513181712,1,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.9381639513181712,1,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.9381639513181712,1,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.9381639513181712,1,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.9381639513181712,1,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.9381639513181712,1,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.9381639513181712,1,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.9381639513181712,1,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.9381639513181712,1,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.9381639513181712,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,3.0,1545,3.0,SMS Sent,E-Business,Unemployed,Mumbai,No,SMS Sent,0.9381581001111876,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,9.0,1953,1.8,Email Opened,Supply Chain Management,Unemployed,Thane & Outskirts,No,Modified,0.9381525487818257,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,8.0,1499,8.0,SMS Sent,Rural and Agribusiness,Working Professional,Thane & Outskirts,No,SMS Sent,0.9372148763014816,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,4.0,1606,4.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.9367203568988333,1,Rep_A (Top Closer)
API,Google,No,0,2.0,2117,2.0,Olark Chat Conversation,Finance Management,Unemployed,Mumbai,No,Modified,0.9366952656041422,0,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,7.0,1052,2.33,Email Opened,Marketing Management,Unemployed,Mumbai,No,Email Opened,0.9357525858545664,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,4.0,1500,4.0,SMS Sent,IT Projects Management,Unemployed,Thane & Outskirts,No,SMS Sent,0.9355390651301513,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,3.0,940,2.0,Email Opened,Marketing Management,Unemployed,Mumbai,No,Modified,0.9354154267191426,1,Rep_A (Top Closer)
Landing Page Submission,Google,Yes,1,4.0,1674,4.0,Unsubscribed,Finance Management,Working Professional,Mumbai,No,Unsubscribed,0.9350969763694553,1,Rep_A (Top Closer)
Landing Page Submission,Organic Search,No,1,4.0,1171,4.0,Email Opened,Finance Management,Working Professional,Thane & Outskirts,No,Modified,0.9343238421525535,1,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,3.0,555,1.5,Email Opened,Human Resource Management,Unemployed,Mumbai,No,Modified,0.9339645871826338,1,Rep_A (Top Closer)
Landing Page Submission,Organic Search,No,1,5.0,1023,5.0,SMS Sent,Finance Management,Working Professional,Mumbai,Yes,SMS Sent,0.9322826696167267,1,Rep_A (Top Closer)
Landing Page Submission,Organic Search,No,1,9.0,1562,3.0,Olark Chat Conversation,Marketing Management,Unemployed,Mumbai,Yes,Modified,0.9308371659397867,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,3.0,1391,3.0,SMS Sent,Finance Management,Unemployed,Thane & Outskirts,No,SMS Sent,0.9308264761334537,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,2.0,1508,2.0,SMS Sent,Human Resource Management,Unemployed,Mumbai,No,Modified,0.9305354020737073,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,4.0,1506,4.0,SMS Sent,Business Administration,Unemployed,Other Cities of Maharashtra,No,SMS Sent,0.9294739088228612,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,13.0,1683,4.33,SMS Sent,"Banking, Investment And Insurance",Unemployed,Mumbai,No,SMS Sent,0.9290553261876042,1,Rep_A (Top Closer)
Landing Page Submission,Organic Search,No,1,6.0,1295,3.0,SMS Sent,Marketing Management,Unemployed,Mumbai,Yes,SMS Sent,0.9289255964151462,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,2.0,1349,2.0,SMS Sent,Media and Advertising,Unemployed,Other Cities,No,SMS Sent,0.9277115853281669,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,3.0,1350,3.0,SMS Sent,Marketing Management,Unemployed,Thane & Outskirts,No,SMS Sent,0.92655130005603,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,4.0,1512,4.0,SMS Sent,Retail Management,Unemployed,Mumbai,No,SMS Sent,0.9264810198297107,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,0,2.0,1371,2.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.9263420503126979,0,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,3.0,876,2.0,Email Opened,Finance Management,Unemployed,Mumbai,No,Modified,0.9262494507323663,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,3.0,1396,3.0,SMS Sent,Human Resource Management,Unemployed,Other Cities of Maharashtra,No,SMS Sent,0.9260975913926767,1,Rep_A (Top Closer)
API,Direct Traffic,No,1,2.0,1441,2.0,SMS Sent,IT Projects Management,Working Professional,Mumbai,No,SMS Sent,0.9258448899033891,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,5.0,959,2.5,SMS Sent,Human Resource Management,Working Professional,Tier II Cities,No,SMS Sent,0.925796857030636,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,4.0,1280,2.0,Email Opened,Operations Management,Working Professional,Other Metro Cities,No,Modified,0.925035537606323,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,4.0,1416,4.0,SMS Sent,Human Resource Management,Unemployed,Thane & Outskirts,No,SMS Sent,0.9246059687077456,1,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,Modified,0.9244327359310884,1,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,Modified,0.9244327359310884,1,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,Modified,0.9244327359310884,1,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,Modified,0.9244327359310884,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,0,7.0,1939,2.33,Email Opened,Media and Advertising,Unemployed,Mumbai,No,Email Opened,0.9242449703772226,0,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,4.0,1503,2.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.9233109577581796,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,0,3.0,278,2.0,Email Opened,Human Resource Management,Working Professional,Thane & Outskirts,No,Modified,0.9229661328319728,0,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,2.0,1651,2.0,SMS Sent,International Business,Unemployed,Other Cities of Maharashtra,Yes,SMS Sent,0.9224368995261344,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,4.0,1494,4.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.9222902882405296,1,Rep_A (Top Closer)
Landing Page Submission,bing,No,1,3.0,399,3.0,SMS Sent,Media and Advertising,Unemployed,Mumbai,No,SMS Sent,0.9219426259099875,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,2.0,1318,2.0,SMS Sent,Supply Chain Management,Unemployed,Mumbai,No,SMS Sent,0.9212805647863125,1,Rep_A (Top Closer)
API,Google,No,1,2.0,1639,1.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.9207885407314281,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,1.0,1054,1.0,Email Opened,Operations Management,Unemployed,Mumbai,Yes,Email Opened,0.9201783406397145,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,0,3.0,1678,1.5,Page Visited on Website,Operations Management,Unemployed,Tier II Cities,Yes,Page Visited on Website,0.9201130031282411,0,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,24.0,1500,2.0,Page Visited on Website,Finance Management,Unemployed,Mumbai,No,Page Visited on Website,0.9190491092895454,1,Rep_A (Top Closer)
API,Olark Chat,No,1,3.0,1580,1.0,Page Visited on Website,Finance Management,Unemployed,Mumbai,No,Modified,0.9180661964953707,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,4.0,1300,4.0,SMS Sent,Finance Management,Working Professional,Other Cities of Maharashtra,Yes,SMS Sent,0.917985221885765,1,Rep_A (Top Closer)
Landing Page Submission,Organic Search,Yes,1,4.0,1866,4.0,Unsubscribed,Media and Advertising,Unemployed,Mumbai,Yes,Unsubscribed,0.9169426091929378,1,Rep_A (Top Closer)
Lead Add Form,Reference,Yes,1,3.0,1606,2.0,Email Bounced,Finance Management,Unemployed,Thane & Outskirts,No,Modified,0.9165643903418356,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,2.0,1666,2.0,SMS Sent,Business Administration,Unemployed,Mumbai,Yes,SMS Sent,0.9164096879257096,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,2.0,1575,2.0,SMS Sent,Hospitality Management,Unemployed,Other Metro Cities,Yes,SMS Sent,0.9139201387590337,1,Rep_A (Top Closer)
API,Organic Search,No,0,5.0,1841,5.0,Olark Chat Conversation,Finance Management,Unemployed,Mumbai,No,Modified,0.9138091249533724,0,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,5.0,1323,5.0,SMS Sent,Travel and Tourism,Working Professional,Other Cities of Maharashtra,Yes,SMS Sent,0.9125919164126827,1,Rep_A (Top Closer)
Landing Page Submission,Organic Search,No,1,3.0,644,3.0,SMS Sent,Travel and Tourism,Working Professional,Other Metro Cities,Yes,SMS Sent,0.9124886612188869,1,Rep_A (Top Closer)
